	name	kind	query	description	comment	url	source	ccd	in_ccd
178	Z803085908	SMILES	NC(c1ccccc1)c1nccs1		ENAMINE library		ENAMINE		False
179	Z808608370	SMILES	COc1ccc(Br)cn1		ENAMINE library		ENAMINE		False
180	Z992949496	SMILES	OC1CCCC1c1cccc(Cl)c1		ENAMINE library		ENAMINE		False
181	Z992732292	SMILES	CNCc1nc(C(F)(F)F)cs1		ENAMINE library		ENAMINE		False
182	Z821124870	SMILES	Cc1ncc(CN2CCNCC2)s1		ENAMINE library		ENAMINE	NSV	True
183	Z361907534	SMILES	COc1c(C)cnc(CN(C)C)c1C		ENAMINE library		ENAMINE		False
184	Z838950422	SMILES	OC(c1cc(Br)ccc1F)C(F)(F)F		ENAMINE library		ENAMINE		False
185	Z1359386025	SMILES	NC1CCOC2(CCSCC2)C1		ENAMINE library		ENAMINE		False
186	Z992424146	SMILES	NCc1ccc(F)c(Cl)c1		ENAMINE library		ENAMINE	PK7	True
187	Z90542392	SMILES	FC(F)(F)CNC1CCCC1		ENAMINE library		ENAMINE		False
188	Z543594364	SMILES	Cn1cc(CCNC(=O)N2CCSCC2)cn1		ENAMINE library		ENAMINE		False
189	Z1271332925	SMILES	Cc1ccc(C2CN(S(C)(=O)=O)CCO2)c(C)c1		ENAMINE library		ENAMINE		False
190	Z1138834280	SMILES	Cn1ccnc1CC1CCNCC1		ENAMINE library		ENAMINE		False
191	Z27006350	SMILES	CN(Cc1cccnc1)C(=O)c1ccc2ncsc2c1		ENAMINE library		ENAMINE		False
192	Z1256072451	SMILES	CC(C)CN1CCN(C(=O)c2ccncc2F)CC1		ENAMINE library		ENAMINE		False
193	Z168827500	SMILES	Oc1ccc2c(c1)OCCO2		ENAMINE library		ENAMINE		False
194	Z362636152	SMILES	OCc1cc(Br)cs1		ENAMINE library		ENAMINE		False
195	Z54472195	SMILES	C#CCOc1cccc(F)c1		ENAMINE library		ENAMINE		False
196	Z976741750	SMILES	CSCC1CCNC1.Cl		ENAMINE library		ENAMINE		False
197	Z1198725007	SMILES	OCC1Cc2cc(F)ccc2O1		ENAMINE library		ENAMINE		False
